Year,District_City,Fatal,Non_Fatal_Injury,Damage_to_Property,year_cat,Fatal_log1p,Damage_to_Property_log,Non_Fatal_Injury_transYeo
2015,Caloocan,43,1130,2933,2015,3.784189633918261,7.983781068977451,0.5203000897069167
2015,Las Piñas,24,1035,2357,2015,3.2188758248682006,7.7651449029361315,0.42897772866147615
2015,Makati,19,969,9185,2015,2.995732273553991,9.125326997649227,0.36174619830643706
2015,Malabon,5,418,672,2015,1.791759469228055,6.51025834052315,-0.40637078538774246
2015,Mandaluyong,7,500,3715,2015,2.0794415416798357,8.220133957151859,-0.25587712526472484
2015,Manila,83,1338,9680,2015,4.430816798843313,9.177817180270623,0.7016837005824756
2015,Marikina,26,985,2596,2015,3.295836866004329,7.86172707782398,0.3783538948433752
2015,Muntinlupa,21,966,2807,2015,3.091042453358316,7.939871576361883,0.3586093189083375
2015,Navotas,12,211,507,2015,2.5649493574615367,6.2285110035911835,-0.9228312376252454
2015,Parañaque,26,1183,3730,2015,3.295836866004329,8.224163512637862,0.5687599927138102
2015,Pasay,10,712,4236,2015,2.3978952727983707,8.351374706721296,0.06145386982955779
2015,Pasig,23,1375,6199,2015,3.1780538303479458,8.73214326770192,0.7316846526348275
2015,Pateros,0,4,27,2015,0.0,3.295836866004329,-2.624998719813019
2015,Quezon,146,4466,22917,2015,4.990432586778736,10.039634272209469,2.2406976652812105
2015,San Juan,2,266,1336,2015,1.0986122886681098,7.197435354096591,-0.7576006026048171
2015,Taguig,39,823,4039,2015,3.6888794541139363,8.303752415563412,0.19976910629716477
2015,Valenzuela,33,722,1057,2015,3.5263605246161616,6.963189985870238,0.07455438455906971
2016,Caloocan,36,888,2935,2016,3.6109179126442243,7.984462732262196,0.27435067962726667
2016,Las Piñas,15,751,2473,2016,2.772588722239781,7.813187267521416,0.11178946981237943
2016,Makati,14,1004,11487,2016,2.70805020110221,9.348971240145405,0.3978139145647765
2016,Malabon,14,432,674,2016,2.70805020110221,6.513230110912307,-0.37919283025624356
2016,Mandaluyong,1,503,5219,2016,0.6931471805599453,8.560061091643414,-0.25073485265580814
2016,Manila,66,1148,10093,2016,4.204692619390966,9.219597393238859,0.5369464317411342
2016,Marikina,16,1167,3530,2016,2.833213344056216,8.169053149927343,0.5543058063741391
2016,Muntinlupa,14,968,2907,2016,2.70805020110221,7.9748769005588755,0.36070138486025444
2016,Navotas,9,212,550,2016,2.302585092994046,6.309918278226516,-0.9195533697691051
2016,Parañaque,37,1041,4286,2016,3.6375861597263857,8.363109176033522,0.4349280637846369
2016,Pasay,13,723,4962,2016,2.6390573296152584,8.509564164251746,0.07585691337186781
2016,Pasig,23,1179,7157,2016,3.1780538303479458,8.875846177738598,0.5651603064764145
2016,Pateros,0,9,26,2016,0.0,3.258096538021482,-2.416223125223243
2016,Quezon,116,4755,28846,2016,4.762173934797756,10.269726614143455,2.333988677077368
2016,San Juan,6,250,1569,2016,1.9459101490553132,7.358193752733032,-0.8027929434927047
2016,Taguig,21,591,4773,2016,3.091042453358316,8.470730317005897,-0.10922821246632126
2016,Valenzuela,25,795,993,2016,3.258096538021482,6.900730664045173,0.16627038180714157
2017,Caloocan,31,851,3288,2017,3.4657359027997265,8.098034756176071,0.23242102983655305
2017,Las Piñas,11,653,2691,2017,2.4849066497880004,7.897668150726906,-0.018792146919891176
2017,Makati,18,727,10680,2017,2.9444389791664403,9.276128112514186,0.08105351632909845
2017,Malabon,13,421,784,2017,2.6390573296152584,6.664409020350408,-0.40048998288266896
2017,Mandaluyong,7,553,4925,2017,2.0794415416798357,8.502079553606189,-0.16824437187046914
2017,Manila,53,1263,9999,2017,3.9889840465642745,9.21024036697585,0.6389012991037283
2017,Marikina,14,1158,3446,2017,2.70805020110221,8.144969417087875,0.546109671555444
2017,Muntinlupa,13,800,3316,2017,2.6390573296152584,8.106514516255185,0.17231669372003994
2017,Navotas,6,381,641,2017,1.9459101490553132,6.46302945692067,-0.4816477283992518
2017,Parañaque,41,992,4149,2017,3.7376696182833684,8.330622620332868,0.3855559743200932
2017,Pasay,14,699,5099,2017,2.70805020110221,8.536799721055155,0.04421465984138779
2017,Pasig,23,681,6721,2017,3.1780538303479458,8.812992231969966,0.01994231106447666
2017,Pateros,1,1,2,2017,0.6931471805599453,0.6931471805599453,-2.8514929249640817
2017,Quezon,132,4729,30633,2017,4.890349128221754,10.329833138223648,2.3257733677293952
2017,San Juan,2,225,1582,2017,1.0986122886681098,7.366445148327599,-0.8779608436779309
2017,Taguig,15,626,5116,2017,2.772588722239781,8.540128162698734,-0.05734500066990938
2017,Valenzuela,29,745,1025,2017,3.4011973816621555,6.932447891572509,0.10417554979193094
2018,Caloocan,18,794,705,2018,2.9444389791664403,6.558197802812269,0.1650576882948782
2018,Las Piñas,10,701,590,2018,2.3978952727983707,6.380122536899765,0.04688245721902354
2018,Makati,5,457,1467,2018,1.791759469228055,7.2909747781429814,-0.3322644106945067
2018,Malabon,6,320,106,2018,1.9459101490553132,4.663439094112067,-0.6187363980707232
2018,Mandaluyong,2,426,676,2018,1.0986122886681098,6.516193076042964,-0.39075824962864997
2018,Manila,25,1078,1034,2018,3.258096538021482,6.9411900550683745,0.4710623682145007
2018,Marikina,13,895,715,2018,2.6390573296152584,6.5722825426940075,0.2821348211491229
2018,Muntinlupa,5,595,481,2018,1.791759469228055,6.175867270105761,-0.10318360413588719
2018,Navotas,4,215,90,2018,1.6094379124341003,4.499809670330265,-0.9097888197152247
2018,Parañaque,29,733,844,2018,3.4011973816621555,6.738152494595957,0.08880824028723316
2018,Pasay,6,582,452,2018,1.9459101490553132,6.113682179832232,-0.12294191740076434
2018,Pasig,6,454,1343,2018,1.9459101490553132,7.202661196523238,-0.3377923516827703
2018,Pateros,0,11,38,2018,0.0,3.6375861597263857,-2.3551144131328856
2018,Quezon,56,3531,4476,2018,4.04305126783455,8.406485069431817,1.9037571883864568
2018,San Juan,0,157,164,2018,0.0,5.099866427824199,-1.1202445405037782
2018,Taguig,6,666,985,2018,1.9459101490553132,6.892641641172089,-0.0006560483379797687
2018,Valenzuela,13,493,174,2018,2.6390573296152584,5.159055299214529,-0.2679665944148062
2019,Caloocan,31,1408,3608,2019,3.4657359027997265,8.190908881182514,0.7579337975854415
2019,Las Piñas,12,1274,2942,2019,2.5649493574615367,7.9868449011613825,0.6482820107544958
2019,Makati,12,756,1510,2019,2.5649493574615367,7.31986492980897,0.11809952411076627
2019,Malabon,3,358,143,2019,1.3862943611198906,4.962844630259907,-0.5312552612590455
2019,Mandaluyong,6,491,837,2019,1.9459101490553132,6.729824070489475,-0.2714444168676473
2019,Manila,15,1293,1366,2019,2.772588722239781,7.2196420401307355,0.6643424479903506
2019,Marikina,13,1012,720,2019,2.6390573296152584,6.579251212010101,0.40592475502062364
2019,Muntinlupa,6,651,556,2019,1.9459101490553132,6.320768294250582,-0.021606363147067733
2019,Navotas,7,215,80,2019,2.0794415416798357,4.382026634673881,-0.9097888197152247
2019,Parañaque,19,897,1025,2019,2.995732273553991,6.932447891572509,0.28435044486358796
2019,Pasay,6,631,554,2019,1.9459101490553132,6.317164686747284,-0.05011249120740921
2019,Pasig,11,716,1409,2019,2.4849066497880004,7.25063551189868,0.06671058232488442
2019,Pateros,0,16,60,2019,0.0,4.0943445622221,-2.230447156511678
2019,Quezon,69,4427,4957,2019,4.248495242049359,8.508555998020574,2.227762834796963
2019,San Juan,2,181,205,2019,1.0986122886681098,5.3230099791384085,-1.0270737920707143
2019,Taguig,9,568,1416,2019,2.302585092994046,7.255591274253665,-0.14459481477726588
2019,Valenzuela,17,492,173,2019,2.8903717578961645,5.153291594497779,-0.269704177158699
2020,Quezon,94,4580,17820,2020,4.553876891600541,9.788076701024801,2.278025695180586
2020,Mandaluyong,6,536,2334,2020,1.9459101490553132,7.755338812846501,-0.1956376643350378
2020,Marikina,18,950,2022,2020,2.9444389791664403,7.611842399580417,0.3417543572911076
2020,Pasig,15,833,3397,2020,2.772588722239781,8.130647968160584,0.21152511824702472
2020,San Juan,4,178,573,2020,1.6094379124341003,6.35088571671474,-1.0381939865744287
2020,Caloocan,25,882,2153,2020,3.258096538021482,7.674617497364363,0.26764172521001156
2020,Malabon,10,267,419,2020,2.3978952727983707,6.037870919922137,-0.7548445343594957
2020,Navotas,7,119,230,2020,2.0794415416798357,5.438079308923196,-1.292445938003662
2020,Valenzuela,17,619,877,2020,2.8903717578961645,6.776506992372183,-0.06754386091108448
2020,Las Piñas,13,798,1929,2020,2.6390573296152584,7.564757012905729,0.16990159003925895
2020,Makati,22,791,3695,2020,3.1354942159291497,8.214735833382303,0.16141270002034472
2020,Muntinlupa,12,619,1844,2020,2.5649493574615367,7.519692404116539,-0.06754386091108448
2020,Parañaque,16,770,2800,2020,2.833213344056216,7.937374696163295,0.13560221033277803
2020,Pasay,20,652,1784,2020,3.044522437723423,7.486613313139955,-0.020198443438221535
2020,Pateros,1,22,92,2020,0.6931471805599453,4.5217885770490405,-2.1132212605656377
2020,Taguig,12,637,2863,2020,2.5649493574615367,7.959625305098115,-0.04149015393349094
2020,Manila,45,1212,5398,2020,3.828641396489095,8.59378379357795,0.5945874243032342
2021,Quezon,130,5224,16624,2021,4.875197323201151,9.718602713339008,2.476678617608569
2021,Mandaluyong,5,512,1958,2021,1.791759469228055,7.579678823090456,-0.23544511892798983
2021,Marikina,11,1046,1702,2021,2.4849066497880004,7.43955930913332,0.4398669923285332
2021,Pasig,13,923,2787,2021,2.6390573296152584,7.932721027481948,0.31282075587856284
2021,San Juan,1,102,479,2021,0.6931471805599453,6.171700597410915,-1.3831397686844933
2021,Caloocan,38,681,1563,2021,3.6635616461296463,7.354362330421477,0.01994231106447666
2021,Malabon,6,269,306,2021,1.9459101490553132,5.723585101952381,-0.7493555547137603
2021,Navotas,4,63,142,2021,1.6094379124341003,4.955827057601261,-1.644700481013732
2021,Valenzuela,29,522,587,2021,3.4011973816621555,6.375024819828097,-0.21869170249921135
2021,Las Piñas,16,971,1712,2021,2.833213344056216,7.445417556701687,0.36383339347965854
2021,Makati,23,946,3130,2021,3.1780538303479458,8.048788283534199,0.3375072741264441
2021,Muntinlupa,7,637,1333,2021,2.0794415416798357,7.195187320178709,-0.04149015393349094
2021,Parañaque,23,867,2542,2021,3.1780538303479458,7.8407064517494,0.2507178070032408
2021,Pasay,14,529,1642,2021,2.70805020110221,7.403670290012373,-0.20710734073371165
2021,Pateros,0,39,126,2021,0.0,4.836281906951478,-1.8745943126944447
2021,Taguig,23,928,2546,2021,3.1780538303479458,7.842278779117352,0.3182264416385124
2021,Manila,42,991,3633,2021,3.7612001156935624,8.197814032221203,0.38452945210815226
2022,Quezon,124,6531,19519,2022,4.8283137373023015,9.879143629146611,2.8289661413801848
2022,Mandaluyong,6,676,2547,2022,1.9459101490553132,7.842671474979457,0.01311444949189593
2022,Marikina,18,1254,2027,2022,2.9444389791664403,7.614312146452,0.631180323259133
2022,Pasig,18,1125,4272,2022,2.9444389791664403,8.35983738064003,0.5156407140981127
2022,San Juan,1,137,617,2022,0.6931471805599453,6.424869023905388,-1.2064224509186943
2022,Caloocan,25,757,1466,2022,3.258096538021482,7.290292882446597,0.11935776527941092
2022,Malabon,10,145,255,2022,2.3978952727983707,5.541263545158426,-1.1708893161055571
2022,Navotas,5,25,61,2022,1.791759469228055,4.110873864173311,-2.0631266895631932
2022,Valenzuela,23,479,428,2022,3.1780538303479458,6.059123195581797,-0.29253803980643217
2022,Las Piñas,12,1045,1920,2022,2.5649493574615367,7.560080465021827,0.43888063017876844
2022,Makati,21,1197,3862,2022,3.091042453358316,8.258940462988459,0.5812871984423329
2022,Muntinlupa,21,612,1415,2022,3.091042453358316,7.254884810077338,-0.07782983232563195
2022,Parañaque,26,847,2942,2022,3.295836866004329,7.9868449011613825,0.22780643945112647
2022,Pasay,21,650,2557,2022,3.091042453358316,7.846589975291186,-0.023015910413838284
2022,Pateros,0,34,125,2022,0.0,4.8283137373023015,-1.9351913479395553
2022,Taguig,26,1160,3017,2022,3.295836866004329,8.012018239159062,0.5479351672287215
2022,Manila,67,1816,5947,2022,4.219507705176107,8.690642169706594,1.049474014941518
2023,Quezon,107,7851,24429,2023,4.68213122712422,10.103526230135241,3.1343468720060024
2023,Mandaluyong,6,639,2815,2023,1.9459101490553132,7.942717540573791,-0.038629616966586955
2023,Marikina,20,1474,2554,2023,3.044522437723423,7.845416036592485,0.8090730702447556
2023,Pasig,17,1292,4607,2023,2.8903717578961645,8.435332164935916,0.6635016060479292
2023,San Juan,2,211,851,2023,1.0986122886681098,6.7464121285733745,-0.9228312376252454
2023,Caloocan,28,780,1765,2023,3.367295829986474,7.475905969367397,0.1479581039162295
2023,Malabon,10,133,228,2023,2.3978952727983707,5.429345628954441,-1.2247739629906689
2023,Navotas,9,68,107,2023,2.302585092994046,4.672828834461906,-1.605367875707283
2023,Valenzuela,8,454,512,2023,2.1972245773362196,6.238324625039508,-0.3377923516827703
2023,Las Piñas,16,1031,2152,2023,2.833213344056216,7.674152921281675,0.4249964016480164
2023,Makati,12,1398,4971,2023,2.5649493574615367,8.511376306094673,0.7500288612634778
2023,Muntinlupa,14,619,1645,2023,2.70805020110221,7.405495663199472,-0.06754386091108448
2023,Parañaque,20,1002,3633,2023,3.044522437723423,8.197814032221203,0.39577860899507117
2023,Pasay,5,590,3121,2023,1.791759469228055,8.045908742270779,-0.11074416964545905
2023,Pateros,0,31,102,2023,0.0,4.624972813284271,-1.974752524989026
2023,Taguig,26,1430,4184,2023,3.295836866004329,8.339023005744759,0.7751770237241099
2023,Manila,52,2100,6823,2023,3.970291913552122,8.828054536815424,1.2243556519949546
2024,Quezon,125,8607,25984,2024,4.836281906951478,10.165236242961404,3.2921366922401396
2024,Mandaluyong,6,652,2971,2024,1.9459101490553132,7.9966538754626075,-0.020198443438221535
2024,Marikina,15,1311,2238,2024,2.772588722239781,7.71333788887187,0.679394562564981
2024,Pasig,22,1140,4830,2024,3.1354942159291497,8.482601746646619,0.529572488368331
2024,San Juan,4,277,957,2024,1.6094379124341003,6.863803391452954,-0.7277011754685381
2024,Caloocan,23,705,1590,2024,3.1780538303479458,7.371489295214277,0.05220092281729509
2024,Malabon,4,115,251,2024,1.6094379124341003,5.5254529391317835,-1.312869119784937
2024,Navotas,7,64,173,2024,2.0794415416798357,5.153291594497779,-1.6366533108454326
2024,Valenzuela,13,416,495,2024,2.6390573296152584,6.20455776256869,-0.4103089643066707
2024,Las Piñas,21,980,1906,2024,3.091042453358316,7.552762084214147,0.3731859362098009
2024,Makati,18,1102,5041,2024,2.9444389791664403,8.525359754082631,0.4940046056168326
2024,Muntinlupa,19,762,1611,2024,2.995732273553991,7.384610383176974,0.12563028195394785
2024,Parañaque,30,1068,3577,2024,3.4339872044851463,8.182279739259018,0.4613895563626347
2024,Pasay,11,466,2142,2024,2.4849066497880004,7.669495251007694,-0.3158426065677105
2024,Pateros,0,48,123,2024,0.0,4.812184355372417,-1.778590226508773
2024,Taguig,42,2198,5189,2024,3.7612001156935624,8.55429627936774,1.280559080447401
2024,Manila,67,1999,6686,2024,4.219507705176107,8.807771066980044,1.1643257129739402
