Year,District,Driver_Injured,Passenger_Injured,Pedestrian_Injured,Total
2015,Central,2756,1957,1257,5970
2015,Eastern,2024,1150,818,3992
2015,Northern,1382,827,981,3190
2015,Southern,3469,1739,1953,7161
2015,Western,710,339,496,1545
2015,Grand Total,10341,6012,5505,21858
2016,Central,3108,1615,1162,5885
2016,Eastern,2080,1102,761,3943
2016,Northern,1401,951,832,3184
2016,Southern,3028,1691,1760,6479
2016,Western,616,371,398,1385
2016,Grand Total,10233,5730,4913,20876
2017,Central,3068,1736,1144,5948
2017,Eastern,1747,879,651,3277
2017,Northern,1455,914,874,3243
2017,Southern,2502,1312,1652,5466
2017,Western,719,350,371,1440
2017,Grand Total,9491,5191,4692,19374
2018,Central,3606,1907,1166,6679
2018,Eastern,1884,923,784,3591
2018,Northern,1642,1018,734,3394
2018,Southern,3230,1358,1734,6322
2018,Western,999,426,482,1907
2018,Grand Total,11361,5632,4900,21893
2019,Central,4500,2170,1035,7705
2019,Eastern,2381,1162,814,4357
2019,Northern,1844,1122,803,3769
2019,Southern,3960,1415,1811,7186
2019,Western,1191,526,495,2212
2019,Grand Total,13876,6395,4958,25229
2020,Central,3985,919,523,5427
2020,Eastern,2158,460,343,2961
2020,Northern,1506,450,359,2315
2020,Southern,3460,563,796,4819
2020,Western,945,192,211,1348
2020,Grand Total,12054,2584,2232,16870
2021,Central,4807,988,464,6259
2021,Eastern,2374,490,319,3183
2021,Northern,1387,367,286,2040
2021,Southern,4020,790,904,5714
2021,Western,786,167,175,1128
2021,Grand Total,13374,2802,2148,18324
2022,Central,5708,1531,887,8126
2022,Eastern,2713,852,523,4088
2022,Northern,1144,415,352,1911
2022,Southern,4241,1227,1167,6635
2022,Western,1371,263,344,1978
2022,Grand Total,15177,4288,3273,22738
2023,Central,6769,2217,1033,10019
2023,Eastern,3021,1106,572,4699
2023,Northern,1205,514,286,2005
2023,Southern,4445,1718,1385,7548
2023,Western,1437,504,445,2386
2023,Grand Total,16877,6059,3721,26657
2024,Central,7481,2518,1053,11052
2024,Eastern,2599,1038,515,4152
2024,Northern,1070,414,271,1755
2024,Southern,4964,1873,1375,8212
2024,Western,1356,484,375,2215
2024,Grand Total,17470,6327,3589,27386